id,kode_provinsi,nama_provinsi,nama_pos_hujan,nama_stasiun_hujan,bulan,jumlah_curah_hujan,satuan,tahun
53,32.0,JAWA BARAT,CISADEA-CIBARENO,CICATIH,MEI,65.0,MILIMETER,2015
54,32.0,JAWA BARAT,CISADEA-CIBARENO,CICATIH,JUNI,45.0,MILIMETER,2015
55,32.0,JAWA BARAT,CISADEA-CIBARENO,CICATIH,JULI,3.0,MILIMETER,2015
56,32.0,JAWA BARAT,CISADEA-CIBARENO,CICATIH,AGUSTUS,0.0,MILIMETER,2015
57,32.0,JAWA BARAT,CISADEA-CIBARENO,CICATIH,SEPTEMBER,0.0,MILIMETER,2015
58,32.0,JAWA BARAT,CISADEA-CIBARENO,CICATIH,OKTOBER,11.0,MILIMETER,2015
59,32.0,JAWA BARAT,CISADEA-CIBARENO,CICATIH,NOVEMBER,72.0,MILIMETER,2015
60,32.0,JAWA BARAT,CISADEA-CIBARENO,CICATIH,DESEMBER,45.0,MILIMETER,2015
61,32.0,JAWA BARAT,CISADEA-CIBARENO,CIDAUN,JANUARI,31.0,MILIMETER,2015
62,32.0,JAWA BARAT,CISADEA-CIBARENO,CIDAUN,FEBRUARI,57.0,MILIMETER,2015
63,32.0,JAWA BARAT,CISADEA-CIBARENO,CIDAUN,MARET,21.0,MILIMETER,2015
64,32.0,JAWA BARAT,CISADEA-CIBARENO,CIDAUN,APRIL,46.0,MILIMETER,2015
65,32.0,JAWA BARAT,CISADEA-CIBARENO,CIDAUN,MEI,47.0,MILIMETER,2015
66,32.0,JAWA BARAT,CISADEA-CIBARENO,CIDAUN,JUNI,0.0,MILIMETER,2015
67,32.0,JAWA BARAT,CISADEA-CIBARENO,CIDAUN,JULI,0.0,MILIMETER,2015
68,32.0,JAWA BARAT,CISADEA-CIBARENO,CIDAUN,AGUSTUS,0.0,MILIMETER,2015
69,32.0,JAWA BARAT,CISADEA-CIBARENO,CIDAUN,SEPTEMBER,0.0,MILIMETER,2015
70,32.0,JAWA BARAT,CISADEA-CIBARENO,CIDAUN,OKTOBER,0.0,MILIMETER,2015
71,32.0,JAWA BARAT,CISADEA-CIBARENO,CIDAUN,NOVEMBER,57.0,MILIMETER,2015
72,32.0,JAWA BARAT,CISADEA-CIBARENO,CIDAUN,DESEMBER,66.0,MILIMETER,2015
73,32.0,JAWA BARAT,CISADEA-CIBARENO,CIGANGSA,JANUARI,75.0,MILIMETER,2015
74,32.0,JAWA BARAT,CISADEA-CIBARENO,CIGANGSA,FEBRUARI,29.0,MILIMETER,2015
75,32.0,JAWA BARAT,CISADEA-CIBARENO,CIGANGSA,MARET,30.0,MILIMETER,2015
